timestamp,face
2023-11-22 06:23:13.170,relax5
2023-11-22 06:23:18.174,happy5
2023-11-22 06:23:28.172,relax5
2023-11-22 06:23:38.169,happy5
2023-11-22 06:23:43.168,relax5
2023-11-22 06:23:53.169,relax5
2023-11-22 06:24:03.168,relax5
2023-11-22 06:24:13.169,relax5
2023-11-22 06:24:23.169,relax5
2023-11-22 06:24:33.170,relax5
2023-11-22 06:24:38.167,happy5
2023-11-22 06:24:43.164,relax5
2023-11-22 06:24:48.171,happy5
2023-11-22 06:24:53.166,relax5
2023-11-22 06:25:03.180,happy5
2023-11-22 06:25:08.167,relax5
2023-11-22 06:25:13.171,happy5
2023-11-22 06:25:23.166,relax5
2023-11-22 06:25:33.164,relax5
2023-11-22 06:25:38.167,happy5
2023-11-22 06:25:48.165,relax5
2023-11-22 06:25:53.163,happy5
2023-11-22 06:25:58.166,relax5
2023-11-22 06:26:03.165,happy5
2023-11-22 06:26:13.171,relax5
2023-11-22 06:26:18.170,happy5
2023-11-22 06:26:23.164,relax5
2023-11-22 06:26:33.166,relax5
2023-11-22 06:26:43.170,happy5
2023-11-22 06:26:48.172,relax5
2023-11-22 06:26:53.176,happy5
2023-11-22 06:26:58.171,relax5
2023-11-22 06:27:08.171,relax5
2023-11-22 06:27:13.168,happy5
2023-11-22 06:27:18.168,relax5
2023-11-22 06:27:28.171,happy5
2023-11-22 06:27:33.167,relax5
2023-11-22 06:27:43.172,relax5
2023-11-22 06:27:53.169,happy5
2023-11-22 06:28:03.169,relax5
2023-11-22 06:28:13.167,relax5
2023-11-22 06:28:18.170,happy5
2023-11-22 06:28:23.166,relax5
2023-11-22 06:28:28.170,happy5
2023-11-22 06:28:33.175,relax5
2023-11-22 06:28:43.165,relax5
2023-11-22 06:28:53.165,relax5
2023-11-22 06:28:58.173,happy5
2023-11-22 06:29:03.167,relax5
2023-11-22 06:29:08.170,happy5
2023-11-22 06:29:13.166,relax5
2023-11-22 06:29:23.170,relax5
2023-11-22 06:29:28.167,happy5
2023-11-22 06:29:38.167,relax5
2023-11-22 06:29:48.166,happy5
