timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:05:47.472,0.236,94,452,251.64459228515625,0.5184755325317383,311.7368469238281,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184
2023-11-22 06:05:47.863,0.236,100,328,252.61480712890625,0.522558331489563,311.5754089355469,0.9333333373069763,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184
2023-11-22 06:05:48.194,0.236,105,312,251.05935668945312,0.5172697305679321,310.08905029296875,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184,0.800000011920929
2023-11-22 06:05:48.725,0.236,103,490,250.79318237304688,0.5143964886665344,310.7458190917969,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184,0.800000011920929
2023-11-22 06:05:49.039,0.236,119,300,250.38987731933594,0.5130261778831482,312.4155578613281,0.9333333373069763,0.8999999761581421,0.8666666746139526,0.8333333134651184,0.800000011920929
2023-11-22 06:05:49.398,0.236,128,268,252.19024658203125,0.5193926095962524,312.0119934082031,0.93333333730697632023-11-22 06:05:49.930,1.0,0.432891764903487,200,565013,245636,226239,1103512023-11-22 06:05:56.864,0.236,130,338,250.06997680664062,0.5120999813079834,312.26519775390625,0.9666666388511658,0.9333333373069763,0.8999999761581421,0.8333333134651184,0.800000011920929
2023-11-22 06:05:56.873,0.236,128,306,248.60150146484375,0.5072832107543945,311.4707946777344,0.9666666388511658,0.9333333373069763,0.8999999761581421,0.800000011920929,0.7666666507720947
2023-11-22 06:05:56.877,0.236,148,488,247.79006958007812,0.5020582675933838,313.1564636230469,0.9666666388511658,0.9333333373069763,0.93333333732023-11-22 06:05:57.783,1.0,1.3276722276127582023-11-22 06:06:32.277,0.236,168,292,249.22499084472656,0.5071533918380737,315.0764465332031,0.9666666388511658,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8333333134651184
2023-11-22 06:06:32.418,0.236,112,968,283.9894104003906,0.5184730291366577,364.01611328125,1.0,0.9666666388511658,0.9666666388511658,0.8999999761581421,0.8999999761581421
2023-11-22 06:06:32.522,0.236,103,950,292.20672607421875,0.5185715556144714,363.3263854980469,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
2023-11-22 06:06:32.527,0.236,99,572,289.2401123046875,0.5064642429351807,369.3493957519531,1.0,0.9333333373069763,0.9333333373069763,0.8666666746139526,0.8666666746139526
